r,vra,vdec
1445.75166557328,-0.796957807531124,-55.1154415475132
1326.72778321304,4.45052979827033,-49.8052440198297
1909.85799583028,-1.29453998956634,-74.3817547507747
2498.93572658263,7.06712399323334,-89.630320513231
2355.33980481905,11.7102682019424,-92.4110194005228
1942.48849620503,10.0088657347319,-75.4090255297477
1763.64049870963,4.69611440757206,-64.7101957844008
1547.59080758884,4.59684508553966,-61.0320611063165
3157.57621260885,11.6633834922178,-125.799795236847
1938.15095456732,5.18641271099064,-76.973907128544
1871.91629026119,4.91868542636095,-71.8702758143512
1696.18317711742,10.7163478397576,-64.1691376089793
1075.4982009828,-0.93065543171366,-42.4050380830252
1643.14487611534,6.695603306486,-60.1902310987759
1987.45490356593,4.2310936550565,-71.5813116971778
1400.29267577582,1.44477019822921,-55.1748293326425
1084.65120790774,2.79447877897201,-42.1208556709558
2715.46376829055,-1.49241541961399,-102.564342589046
1919.07917403157,3.50714448023521,-74.0575890132533
1499.16607882263,3.80337589656965,-57.6879243703597
1029.04772741024,1.36535878089111,-40.5943273563088
1380.2202231818,4.69025840170951,-52.754991626154
1930.12104689486,2.98164222362097,-73.7376744654711
2731.1030573567,9.92823862567691,-101.566409389441
2685.49667962799,2.53176707267471,-103.29307082421
2307.15985635211,9.23883114503533,-89.6706544210712
1399.34590346887,4.87877739932782,-50.8448887411474
1443.54804718389,2.54211044109501,-57.5020773905496
3042.99810438839,11.7038164908773,-120.909427313548
2267.14556984054,9.01298903959104,-81.9650281570615
2564.68195138051,4.96630969384108,-97.1039042052767
1768.80959172394,5.52052260535652,-66.9055863501885
1252.37242311018,-1.05369240830236,-47.9365141065074
1761.69072340034,9.28305595099622,-64.2895317007493
2628.56661323607,-0.961713417634758,-92.8847724228285
1867.45920037916,6.05211964329788,-71.7565893039233
1149.77191110307,3.11862011322925,-44.5684718318807
2049.95953759251,0.294728460988298,-77.0033059125677
1634.75925055944,3.68353196933974,-62.3897463934558
1120.29951455452,1.73591845817364,-42.7326246585507
1413.98259835457,1.35464629131008,-53.0075388607568
1198.46803672534,4.46862448501718,-47.6094691084929
1664.28642446521,-1.99284029867458,-67.0780052911363
2063.16655304328,6.01601607735316,-79.28599039915
2728.88036231114,-4.05767004606468,-103.592207542759
2010.48862756921,12.6499927762034,-73.9010133244913
1678.53159569239,6.93822941842682,-61.0501571950847
1352.78407236275,3.95952149853948,-51.9514791299618
2477.96406497745,7.9620555527012,-99.5529126549433
1348.53385426529,3.54013602247738,-51.2610437443332
2346.41317427102,4.09711910151775,-91.5258047469151
2297.92087433419,5.75751454920333,-84.1115647900039
1695.85612666511,2.84952283554519,-65.0364121444594
3705.69942353297,4.63902693132996,-138.133510181996
2865.88119635857,8.82951399297287,-101.386016077856
1676.30964145421,4.52716943077724,-61.2304033554193
898.86224942244,4.30347102773061,-35.9412396892622
2115.99266949249,-0.741062105858856,-77.1277031519379
2754.39100884408,7.64039966042984,-100.307363209718
1146.83268241026,3.51691049403638,-42.7313255372556
1435.07528295944,-1.98769259816801,-53.1708194734589
1489.45485786579,3.58069313322069,-55.0098474433208
1432.02499936452,-3.54549646065632,-57.8016155991861
2504.96415094409,9.68153309313588,-97.1838203149387
2804.46115151482,-4.72709509365419,-106.858356236597
1703.86039977153,6.85419190099595,-64.4791009849738
1851.17038555929,4.32270010483913,-68.5793412903559
1650.18991567655,2.53306165737209,-63.2272928964576
2303.97651375826,8.09909502285728,-92.3126038314778
1508.17391683807,4.0105027816979,-58.1580985862306
1984.38026425374,3.30131293295369,-75.8497828495117
2408.57665403457,3.36499328707413,-90.6322243738742
1901.93888168526,-1.69138641947333,-71.2265124218773
3587.82144494832,-1.09938231103112,-135.966486951919
2213.30619510704,6.0999611252277,-80.53406655962
1232.34401457437,3.67215139099666,-44.1897187644001
1659.06583249161,5.29875970206349,-63.6027352801675
1871.38822289986,-0.457471911550074,-71.1272558790113
3887.69358256931,11.3952937365086,-141.760736732446
1166.72634196111,5.31490805771265,-42.8061179910817
1727.192735424,-0.424477850846158,-63.1377886122658
1267.74899400571,6.99034702441005,-45.127758620648
1486.13797254559,3.69412474050077,-57.4475052429585
2023.25640984356,7.45548077927309,-76.449136365172
2259.42575625241,0.27766749588051,-85.3263079622736
1095.20639500147,4.45477707532922,-41.5032580563415
2450.57656355148,3.42736467565202,-88.6307993613472
1434.20393314932,4.11147078606383,-53.7522513807357
1590.13979294608,4.1292399784942,-62.921328417091
1426.62470208512,2.30050654894417,-54.6492331056772
1406.90953646697,6.59717538873743,-52.7920948213198
1603.39357284411,-3.41333199894878,-64.4912430570034
1948.53360298367,-1.0163272730972,-72.6261028532943
2559.54964429004,2.40020914076083,-98.1113290023139
2152.17429211553,6.53125759230477,-77.6819307693014
1442.26687175012,3.22799103568122,-53.2560538892159
1791.01639814197,10.0362654238136,-65.1227596938266
2564.48209955027,1.89210847791595,-96.3149256405687
2328.36705362967,7.14251421658133,-87.152180106969
1481.97587966607,3.74941046093009,-56.0292210280761
1493.00146794981,1.1709743407174,-50.399753101573
2594.74445838443,4.06778490580168,-88.5604350030089
1475.11734718787,3.28546812391325,-56.1356600131167
1910.41824288827,8.1799637737766,-72.9664041324554
2524.23665095378,4.97468266311749,-95.8905359158994
1095.20639500147,4.45477707532922,-41.5032580563415
2319.31589077651,-3.32820817788846,-83.0509437527561
1280.53595668007,3.59952255073404,-46.9344941306686
2286.81666869252,4.21609052829101,-85.4167849368402
1789.25673699972,1.29107016278691,-68.3679957692764
1479.61120132238,4.05605402677467,-55.6178123541146
1186.53311419737,0.384095460506524,-43.1848716956487
2251.20626469828,0.385659444789381,-84.8186923879895
1419.31531743403,3.43696990112591,-54.2443379849892
2286.09308808689,8.22652771242075,-80.6288763964641
1459.00842859394,2.65480706812058,-52.4879910937708
2199.5309057542,4.0958427235173,-83.3248099381049
2329.57459898482,4.41067567949307,-88.0282092196604
1730.21176833957,5.53375485910652,-65.1921842534815
1631.91318705933,7.20975503021236,-58.8663444475391
1248.23377662923,0.3197900178249,-44.9815406921543
2350.81424901497,5.92176523765219,-84.3763317049545
