r,vra,vdec
2865.85617102668,-71.0450260286329,-45.1024029395443
1398.0890607712,-34.7656218813634,-21.5795432320137
1875.51893253828,-45.7703043486789,-34.96964878379
1975.70258749082,-48.4606036288204,-36.877646154255
1632.58550747925,-43.0941130942233,-26.576926278076
1335.87093175939,-32.4641905475165,-24.9573155689952
1601.57824766558,-36.0756188650712,-25.6892935746604
2420.50392465628,-53.8254535090977,-39.8108250370394
1108.64900240237,-24.1319030487854,-21.1590193748959
844.86262837687,-20.4459572811146,-14.1289788903716
1463.96939714547,-34.9569809121855,-25.2147132467998
2430.28852922809,-51.699570349828,-46.7642028232108
3867.18341038898,-87.9352659025246,-67.4150435489992
2381.90973634875,-55.8091599232902,-39.9136403988013
1188.77532037717,-29.7138919422087,-21.7525996876819
1433.953559635,-31.1011386373294,-23.0650710249687
1717.87702444387,-39.5992393976774,-32.6142215366513
1894.90973861491,-44.3934528091484,-33.1665933224299
1388.96895859439,-32.3862842589326,-25.6748489198226
1394.58917765739,-30.4519337689996,-24.0208589102105
4099.22775757879,-96.6196474107497,-65.0308821547223
1552.7089524817,-37.9535026857214,-24.1326218730977
2126.49023736651,-50.5008977322695,-40.0936844449097
1737.25157643641,-42.0086761885675,-31.9177458542547
1866.42440187266,-48.2103263648281,-31.8488388069461
1099.01765845768,-25.0880305395958,-21.2961536576423
1672.20911974444,-36.316550705051,-29.1920184500504
2893.0610577572,-64.3529056941373,-52.4231830660057
1157.1861046692,-24.2501446887122,-21.8681458642581
964.902220278771,-22.362491774262,-15.2896271037593
1647.17045017091,-38.3262916984236,-28.7872064315077
2272.07655803537,-48.6991901080914,-41.8458516959905
2927.03563569621,-64.9488011222572,-52.5990506011269
1979.93119768832,-42.4702021191662,-35.5273461897026
1239.54956401311,-32.1289076385112,-22.3885121730507
1313.01444992836,-27.1265971521668,-22.9552237990217
2051.74163383009,-46.7355257813188,-36.6917692038632
1512.50932328075,-35.1352036738887,-24.350309314448
1092.42585620421,-25.3165194564131,-21.0679793668404
1476.42401049517,-33.4097482314061,-24.6612061682995
1391.08232030363,-30.7730386818347,-23.0243725672147
1205.45203075133,-30.7875212740854,-20.0362126402916
2740.78559039206,-63.0885283358345,-49.8264898484979
1347.76372286673,-32.9188403409886,-26.1415474593122
2075.31262887651,-54.032564989041,-34.8744845196042
1516.00384140379,-38.3175306798122,-27.8625157485448
2926.08179377239,-67.0351637784053,-45.6794475182011
4370.70944643216,-99.4038908585854,-82.7533787637497
1486.47491507792,-31.732533690884,-28.301888922654
1378.21477880228,-31.1270587077613,-24.9357422430934
1415.52935079744,-33.1464256348232,-25.3692249350309
1495.18287179838,-29.3502671305848,-25.0737471537345
2663.59424254651,-62.3823483469366,-46.1391113769144
1937.46795782277,-43.609265775361,-35.2071532483934
1284.94158307639,-30.4057243834565,-23.9388380408861
673.849604251777,-15.9442199913109,-11.0238190270453
1593.7305866452,-36.507034263123,-29.0790527035578
2306.66870280407,-51.3051550049125,-37.8347447390687
973.003837856514,-21.175970184338,-18.2163349560789
1017.38900519511,-22.1510282145318,-19.0161214338071
1116.25439312566,-23.2878904756748,-19.5030109070797
1708.91072462848,-40.3799183153919,-26.4227973376978
3860.34413381026,-88.991809763776,-69.3604235678782
894.451259078131,-20.5346505212074,-17.3331485465985
1861.26176759531,-47.4759061258895,-31.4192988505253
1581.4393837809,-37.5505136451565,-27.6063560981112
2614.53003682467,-65.7667255337698,-39.6872860606922
3165.02424574233,-67.4449726680808,-57.6306707013025
1367.72945645945,-26.8948184683166,-26.5455491558644
1208.42116331466,-27.4879200015024,-22.989150694189
1098.17478251521,-28.8144175561602,-19.7021470016944
1386.24869051289,-28.1886345276041,-24.1724931754323
3659.71479241189,-83.3191936987987,-63.6666164556626
1529.25265452417,-36.1474250786618,-26.756407841137
1106.22858108865,-25.8522817048269,-20.9805503203356
1464.32140818615,-31.0014705389584,-26.7717699496859
971.492975176802,-21.5073575678264,-15.7029759123968
1967.00261879294,-46.4340996776015,-34.6825907597966
1670.92402486279,-47.2332032795814,-27.2914472190738
997.723575227699,-22.237750885708,-17.830475029314
719.952412731077,-14.9086988927888,-11.4021495578091
1467.62167478001,-34.2773890560268,-23.4428012026973
3011.67229227472,-70.1621450174841,-54.4356332943114
1068.50229536371,-24.4018413833062,-20.4747100773462
2314.2119759542,-59.3706192133876,-36.5495662886609
956.444893315374,-19.5776077423006,-18.5414013492986
2204.63375354124,-55.3890049294918,-34.1230344591027
2311.80009068883,-51.7941900360515,-40.9012423088981
1229.68879500165,-25.6976281880298,-23.7632820285539
1232.08961513431,-28.4692317597178,-23.2337152812583
1377.37357192518,-34.8244749060824,-26.4938268417729
1842.12830902005,-36.502946954247,-32.9304165094652
3529.78487633009,-76.7005118196252,-62.971149751796
897.052868913431,-22.0834394713417,-16.0685178848286
1327.5610449202,-34.1136846191534,-23.4681002005812
1449.2605249192,-31.232635293105,-26.3810634047091
1385.40083187667,-34.9831463153869,-23.3987426789662
2170.3409330227,-52.8795079444016,-34.447343666261
1400.17868745461,-35.8625968797777,-24.1200125357193
691.875566072334,-15.9934433039916,-12.3246745668672
1192.04883787722,-27.9110224624459,-19.7580993820831
1155.21244237678,-25.0823915345942,-16.781824835086
1783.50398618695,-41.1350075621025,-33.4992408186496
