r,vra,vdec
2488.62968299262,-56.1790111864511,-26.5368864387622
3159.86994328136,-70.1583004767789,-35.4946242096824
2100.24539508194,-47.6074689197285,-24.0770322815647
1838.32866749801,-41.6521198910705,-21.7537738217822
4506.6679081939,-103.071240556766,-52.2805230056059
1746.71525456931,-41.8851950990319,-19.8235147893952
4610.69980052584,-114.543325112445,-56.0816567661223
1957.09591850029,-44.0202878045354,-21.6203785989663
1655.49395493966,-36.6126605210063,-18.671516428822
2192.8427997102,-53.7331352022059,-24.8904269758877
1791.60196222815,-43.7774564621297,-20.9480122638408
3289.19631918103,-76.2003439625314,-38.1430308126942
2752.14896250162,-65.3954347026316,-30.5653112402213
1393.3004866862,-32.2023405672008,-16.9983367840204
2477.51556584862,-58.1112343863876,-30.0731404778454
3240.03671158156,-76.15338855023,-36.0148619686659
3804.72629009748,-95.5106054090059,-41.1754714377951
2616.26488031475,-61.9859274639784,-30.058761443027
2807.15965383641,-66.8819892639807,-30.971536387544
2643.54877797684,-61.5470658115372,-31.3979494126477
2610.00683175343,-58.9969423777063,-28.1266846459704
5418.18076200796,-121.85083523917,-62.6016572458515
2645.93064661728,-61.9596825728066,-29.9427537764208
1658.51824863137,-37.3948910432978,-19.8133168437944
4797.68337445577,-110.438561832374,-54.4114970064393
1714.2495125967,-40.0934424137952,-19.4242754876063
4350.65088121278,-104.042690639159,-51.1765133152032
1809.54133941842,-40.2117287736152,-19.9502134607313
1977.84620709713,-45.4264500726224,-22.9771704604895
1828.01871048554,-43.236231242259,-21.4367975128514
2324.75680882408,-56.464876704692,-25.8431368659004
3556.09816754736,-82.6915362524435,-40.6049667997894
2676.10844588834,-65.679545534375,-28.7292117904405
1956.05368141796,-45.2930710207026,-23.7192717243936
2156.65230746213,-52.6109166537106,-27.3050441368507
2994.38502470129,-68.5159122494455,-33.8486609135555
3472.75755377909,-84.8189389245012,-38.2275575103112
2344.84964027981,-55.4746770670666,-27.4944445892794
3175.84870357034,-75.185494555887,-35.7030196216731
2081.50655680558,-47.9923640313273,-23.6015904416778
2941.84629182951,-67.3976609292193,-32.4590089994338
3332.47321908712,-76.6503310304193,-39.0701451123109
1677.17223544141,-37.6460208557076,-19.2799159250302
2178.4804353159,-50.6736717763798,-23.8014342603665
2723.39078289682,-64.2536755014178,-31.2698091801257
1796.40544437762,-42.6199745886217,-21.0955649393859
3121.13112721435,-73.4223167829951,-36.7831087690034
1885.22541863902,-42.2555199892178,-21.2510326997905
2276.25478759531,-53.7213017330275,-25.6546062364236
2041.56752214696,-50.1401220790617,-23.5577171069144
1778.28885869548,-42.9209190456967,-19.275421290371
2061.88431819179,-49.6394842569523,-23.6480276851803
3632.08120142524,-86.2100597975086,-40.2554233980719
3453.37540312764,-82.8509560912477,-40.842290943393
2439.41774901433,-59.5265737703924,-28.2669472441458
