r,vra,vdec
2433.91440608811,-78.2931561012103,-123.812382401557
2377.014698791,-75.9962088384953,-122.153406425175
3365.65518274086,-107.471605575035,-170.499314315758
2210.77867003686,-72.6845303466633,-112.749976056381
2998.04343049912,-95.0054484294795,-153.298714688308
2174.36980302747,-70.1625128052258,-110.949041677592
2680.50298565651,-86.3520317957791,-136.717291760547
2315.52039666909,-73.972206780812,-118.224512816959
2241.5923367422,-70.2770657997063,-115.443746566364
2005.90767868592,-63.8379035543764,-102.550911799974
2412.90774390502,-78.103612135368,-121.774360835261
2223.56447770101,-69.9675907691987,-112.604301198266
2447.00398488759,-79.457920483423,-124.633721694698
2901.15268308267,-95.0985153041014,-148.124189554785
3885.67797702141,-124.756859079249,-196.006058038886
2278.43580342066,-72.4960061338203,-115.589880832253
2940.79513665445,-93.6853166267023,-149.501016687036
1839.16603173834,-57.6944479762983,-93.338081721937
2044.17737211833,-66.6418102747305,-105.051670228639
2697.07011398237,-87.2650659862811,-137.270435168528
2409.81620530066,-76.9990080116006,-122.260416510741
2221.53155665495,-71.4325859493826,-113.895945859189
3132.39714502958,-99.1753142625529,-158.757583664963
2220.01048192458,-71.7170669845012,-113.665525886329
2806.4591462671,-88.689574616139,-144.05900586007
2683.03588063358,-86.7289072791851,-136.03459408522
2597.4655386425,-82.0221700313768,-131.919925888261
1987.8547692083,-63.5123073744603,-101.725796803806
2432.8155316366,-77.0639559955315,-124.469517513191
1967.04998520087,-62.2368102440684,-100.495884513347
2336.46467550363,-75.5598429014889,-118.18417094795
2295.90968507543,-72.7647756606995,-116.011226641386
2347.40298211872,-76.5513116576041,-119.654858375498
3102.09973411435,-101.365036127142,-157.924943167507
3339.35580659586,-106.825400402411,-168.748184650215
2048.19722564592,-64.9145054229924,-103.599737645081
2696.95711554717,-85.5444809577558,-137.134627307874
2244.03588271598,-72.3551666999545,-114.334268426778
2135.83047102214,-69.8130954783215,-109.381675983623
2747.25078611018,-89.0212299057081,-140.110499098636
2265.2913915107,-73.6469289430646,-114.478015661783
2199.85381863721,-71.457982257873,-112.426242991845
2792.43816700713,-88.5211110979476,-141.94471325365
2434.03712768724,-78.4508805360774,-124.12553775725
2724.97207030151,-87.3587402142623,-139.236688060845
2873.9050277957,-92.1317100013281,-145.618731195138
2384.66665640493,-75.5922661491119,-121.186679921615
2114.22736077245,-67.3531644975452,-108.03403057607
2417.53612286697,-76.9021621925429,-123.342326933706
2311.26612802577,-74.2165099674964,-117.842747094007
2323.1898680821,-74.4232934982486,-117.460900935219
2273.65464678476,-72.3677796353944,-115.048781299239
2286.60287219475,-73.4854427679034,-116.8102580543
2662.76205482353,-86.1225849286178,-135.646282953574
4140.32098781865,-131.022977975987,-207.537120307147
2240.63224546654,-71.3081114051616,-113.957875176851
2655.70095985868,-84.8162767873931,-135.846108738212
2273.08178034765,-73.0456827110144,-116.04404963512
2487.45808141389,-80.9199069446394,-126.597222900396
2203.44012709082,-70.207973059779,-112.503120131314
2207.83363811133,-70.1341020910795,-112.691422151342
2313.52960608246,-74.8081350884533,-117.783766542162
2490.75897528623,-79.7443972379495,-126.495961162801
2537.69096712214,-83.4940539616098,-129.988309972613
2360.7017334961,-74.4533847024519,-120.42920744749
2885.95125601083,-91.9856584118762,-146.794103286005
2335.52086349799,-74.3615574377148,-118.771366340249
1993.75032505888,-63.367171784134,-102.30839281447
2885.54281604993,-92.4322877865773,-146.248200357673
2828.66933343007,-91.3168016431301,-142.176176959444
2110.27972068634,-68.1926426942513,-107.980167297171
2234.13847192189,-71.7078673386001,-112.729473932608
2242.24664239925,-71.7356779137171,-114.503345799987
2296.75628835965,-74.4889220805933,-117.823124302876
2510.79032791907,-80.4584388931693,-127.090226393473
2239.76276121053,-71.8886521610428,-113.896409404487
2253.90460409302,-71.8081655127248,-115.743226361883
2442.0795535174,-76.9512556219021,-124.648757158267
3149.41124876216,-102.701166617823,-160.745412653451
2162.6410584471,-68.5669875164736,-110.596653109733
1869.78218709027,-59.9417894919916,-95.4735697347124
2373.52194758162,-75.2366309648371,-121.277283584237
2570.96529707402,-82.2047709273967,-130.494827081588
2619.36805803061,-85.970448142132,-134.080630032536
2515.19487324585,-79.6705063214188,-128.324351628489
3595.57453359035,-114.059390690466,-182.844206837802
1891.86397558955,-59.9636943100802,-96.4604444136912
2079.00180759166,-66.5768719385253,-106.688039748859
2970.20621201531,-95.4371372646244,-150.480156293655
3036.64594816222,-98.2930025794096,-153.068556075848
1851.60501886913,-60.2623259004541,-94.2971047018562
2385.19111935645,-76.1418090553205,-120.6898695524
2017.73346142805,-64.1718583526655,-103.303650300491
2395.53860882052,-77.1534386043861,-122.208459234398
2091.66096322898,-67.3335564757278,-106.214811362019
2404.62674617502,-77.8650461908157,-122.075556303041
2271.22309009246,-72.22231938774,-116.207608981449
3274.95332194645,-104.157535251981,-166.043581834506
3055.74119602491,-98.4145453507723,-155.242221150011
1838.88055561839,-58.5086962327985,-94.2889278943331
2080.92270124514,-65.590089119333,-106.098379270796
1913.12721918804,-61.0241391317159,-98.1908624460902
2804.86804622896,-90.1935616360945,-141.948957528228
2527.1083423089,-82.0721764498026,-128.816425250596
2100.64816314818,-66.305126608949,-107.129462785074
2817.43191887591,-90.0065608069135,-143.374481913528
