r,vra,vdec
1115.12610594712,-92.1624831580404,-10.8614475186063
1025.89103357968,-84.9947702283077,-10.3144879436444
1291.11833068566,-107.425289155203,-13.7480837428566
1218.61281325543,-100.904035448577,-12.8676637030206
1370.89942460248,-113.430386817673,-14.2151136037629
1333.38349435652,-110.475008978141,-13.6155969408666
1376.84933988498,-114.265945944958,-13.7632235894212
1348.77692296079,-110.615474890433,-14.4821403012674
1340.09139147179,-111.556849395722,-13.8859059467771
1140.79703277592,-94.6253362727423,-12.3992369282938
1403.80971695579,-115.586249419136,-14.4705636377945
1242.31044502779,-102.725431493535,-12.739615175476
1276.36920661225,-106.588243166986,-13.0621819705564
1550.91193477241,-129.377528957326,-15.922863027717
1300.29978977086,-108.54754877973,-12.7220570649348
1017.91426537689,-84.0744669170488,-10.0844501783903
1171.93008429598,-97.7811142136346,-11.2451978360336
1650.93001685853,-136.794592759967,-16.5088761725605
1034.38309452236,-85.5166150565142,-10.8767681446047
1348.94670020218,-111.899714905493,-13.0917294382816
1420.32098120881,-117.563591459383,-13.8090016482185
1054.31530042992,-86.5781451160794,-10.551607282861
1133.37837071644,-94.0437044915678,-12.0663249024554
1218.09106411433,-101.497077739399,-13.6046752557101
1247.48503911361,-103.521423449855,-12.8960260316568
1307.34580325287,-108.252605444532,-13.5682319164951
1339.57573718503,-111.451711354905,-13.1440562214522
1348.56812915398,-111.09039445392,-14.206799145272
1451.75278219136,-120.144016852578,-15.2924870620962
1049.41222549686,-87.511809569173,-11.1771150533709
1417.44210970528,-116.290200195093,-14.4093274583247
1289.68570881974,-106.777477987885,-12.9233983325781
1271.25630653574,-106.518946084423,-12.609808259077
2029.4007667888,-169.624857038991,-20.4714111356334
1226.34708973493,-101.428045462689,-11.8507820982368
1052.2658109865,-86.2283185245478,-10.238893801056
1251.77731967747,-103.660830741713,-12.3261273262423
1504.95239136436,-124.978543269306,-14.9100379189058
1152.31292660001,-96.0094770403551,-12.2587915728413
1365.40305190256,-113.552647501754,-14.1776694206677
1336.48148728419,-110.81745771463,-12.1589036076029
1060.13179557541,-87.0893202048271,-10.8376355404353
1064.84330031475,-88.9857216935825,-11.3153063492837
1396.33147543631,-116.09770406598,-14.8793705300675
1271.70110257948,-105.239733207294,-13.3209183443228
1250.55976686685,-103.906677036507,-12.6416740157012
1297.01268941724,-108.135573667941,-13.0442349174581
1261.49798711673,-104.576229525954,-12.9000631960663
1231.42327194914,-101.667428649669,-12.932547850143
1145.26694983549,-95.6602117796919,-11.8620504787374
1441.79094893143,-118.617308309886,-14.8816202712879
1195.89438636954,-98.6162477220505,-11.9932204803208
1249.47776836372,-104.449478390293,-12.5016845298007
1859.09214183178,-155.154141397914,-18.568500451526
1212.23050780723,-100.403011761045,-12.0485086147689
1099.72044905869,-90.3976660546799,-10.9516615262915
1234.41416020974,-102.045131189936,-12.3446440574505
1619.45888901662,-134.240674336308,-16.3862982666765
1025.11093987685,-85.5662227182034,-10.8397345521776
1070.65129629422,-88.575402270637,-11.0387234644271
1255.82334511486,-103.901895154017,-11.4677401049922
1090.2511734539,-90.5001265609201,-11.3538546658211
1273.65862888148,-105.792842318114,-12.9103312438145
1362.62113952416,-113.158601773007,-14.2702984354864
1224.17604035187,-101.567033038384,-12.4585198555102
1149.55083350619,-96.4688002226298,-11.4152138754082
1548.8779890288,-129.372671304275,-15.1847157602291
1035.69351087138,-85.225919448697,-10.4716733484308
1221.6244330255,-100.863545459446,-12.9578531339497
1038.16191704958,-86.8613916304339,-10.9939396245798
1364.83215914851,-112.647717311071,-14.108658742129
1385.29192635662,-115.211726174189,-13.7695897850815
1361.24233421057,-113.406346517182,-13.6306882963369
1565.15085204444,-130.840018633111,-15.6668274963561
1237.72420140393,-102.547664498572,-12.1360488536298
1083.32254308312,-89.1886542640137,-11.3303899804975
1156.81430867384,-95.1568163467876,-11.0998979194731
1485.0264060486,-121.74483511362,-16.0328668206528
1104.48406134352,-91.1106604427289,-11.5213682816533
1372.76891269335,-113.360862295082,-14.3401608473868
1338.85701704198,-111.024941788298,-12.7402900242653
1181.88042919466,-98.177662686916,-12.8854779555773
1191.02179507801,-98.734931838395,-12.2761937781144
1728.99800591461,-144.470552805561,-17.7638101489987
1061.78616014271,-87.6994797390394,-10.7442417837167
1217.32815438687,-101.429991952635,-12.8572687780637
1391.43856657269,-116.067412203268,-14.0639725031519
1165.26500560703,-96.2579065681908,-11.3931652300085
1477.00829037606,-121.46957344037,-14.8629151690017
1284.75105304173,-107.437170297688,-12.9065931926956
1294.31283335392,-106.377943283278,-13.4819455699502
1307.73451027965,-108.709747941372,-13.1122702043216
1237.32537352768,-102.920462385766,-12.4399246182125
1457.11141595503,-121.223557806303,-14.8236447860266
1231.96917008765,-101.735838673329,-12.5157950742333
1178.16000363323,-97.4194954296442,-12.2162443469084
1177.82461136829,-97.001531990859,-11.7601451859982
1188.68808997688,-97.6361593277803,-12.8053155492463
1087.8227702197,-90.0731085101665,-11.658648296287
1282.33192816956,-105.962369395892,-13.3630907356439
1373.46830783037,-113.51749199731,-13.3901942753091
1307.13718933473,-107.82642589737,-13.7337179448487
1276.52426713889,-105.102405513815,-13.7661370081847
1463.80952681607,-121.69236201546,-15.4387183932606
1211.99381234258,-100.336441152909,-12.4881883111217
1151.67186976864,-95.9761412214009,-12.2491048810321
1288.36362312873,-106.987133628761,-13.0980185690054
1136.65347304712,-93.7869726523368,-11.4376362825942
1620.48857052654,-133.309647477807,-16.4413943475703
1292.98698726864,-108.001358821989,-13.0981799033852
1218.93861536701,-100.871026518116,-12.802802650978
1576.71776524551,-130.352742755795,-15.4336742986179
1312.20527536454,-109.089372982532,-13.1132802755478
1286.14721059933,-107.971781102625,-13.3100015911423
1172.2188003509,-96.0416597493385,-12.2005852283204
1211.44489312499,-100.212722345304,-12.8071611298052
1019.39138961663,-85.312587555769,-10.1987573758307
1340.43339862417,-110.323090532828,-13.7928277807983
1141.27532035556,-93.8242461752691,-11.6870457163621
1062.40463147711,-88.7879267483789,-10.9018679852786
1338.86121345409,-110.852325711625,-13.4497048843789
1433.6428031638,-118.544472225811,-14.8941620129967
1293.61378110497,-106.901274181677,-13.5882691642144
1439.45910506846,-119.814765469306,-15.3693016744473
1085.90949779854,-90.6544901708076,-11.5008725065113
1165.39529367548,-96.993134614452,-12.1757551194678
1406.40173567556,-117.463671652049,-14.2575139162553
1122.02053343802,-93.0021742362637,-11.0997793740413
1448.29306300608,-120.00212049045,-14.5918191582164
1248.99826213903,-103.491166483136,-12.8395670104488
1178.84259498999,-97.1088538312178,-12.4418441940747
1534.39958396216,-126.571416469175,-15.0324191091038
1323.99010002003,-110.753266211033,-13.4187716884258
1268.59918709269,-106.046880930275,-13.0315283120067
1228.85971622498,-100.895803066439,-12.770789574884
1179.7709785411,-97.8663502150906,-12.4055916303998
1337.09532848872,-111.618232929465,-13.3569752163292
1282.42556849839,-105.341796303546,-13.223838953781
1161.83047268388,-95.9211251129971,-11.3570893286768
1049.63133921397,-87.6445232157865,-10.5716257659308
1334.06705336673,-108.905117211086,-13.4239221069935
1563.82803313583,-129.267510363324,-16.1199376478432
1291.13717761822,-106.104053511485,-13.7176096511523
1428.48143021534,-118.677058559397,-14.9768615028574
1135.44961192842,-93.7080515149436,-11.772020775674
1079.23984363462,-89.4641956145047,-11.410297263305
1221.99018947333,-101.27074647559,-12.5520655550934
1262.42902705931,-104.882881342463,-12.8208271895885
1211.72159585639,-100.642082780828,-12.7316963868264
1185.30018936019,-97.9958202584636,-11.9945105529591
1189.09067134483,-98.779258532801,-12.5950822000032
