r,vra,vdec
15173.5082273938,-66.3862168008791,-50.6201312721863
15239.9999510534,-63.5147688494446,-48.9404536330593
15595.6481337572,-61.384172652679,-44.8440489588964
16905.5488913319,-66.8712860594738,-53.7295788652195
11118.3694308075,-53.5591927017694,-37.8144564470599
9758.19373640923,-35.1902283307848,-36.1163727985855
13581.6204505962,-64.8445373672609,-39.7578709867982
8289.28331781856,-33.8797500055747,-28.7452088992923
8359.84464357795,-37.9630662159975,-24.8820506179512
16658.456254245,-67.5744603712325,-49.0608276164082
10812.2201427371,-45.6665295755824,-32.6833023562335
7086.20923222712,-30.6467881527493,-21.6698141616696
10086.1921714684,-35.1212456208942,-28.5743988020214
16116.3423323247,-59.7515635927982,-49.6576432517183
6013.69625566714,-23.6741661122571,-20.5478668338395
9883.42856195914,-41.9959298060201,-31.4324579661305
15432.6976970936,-56.8662273211334,-48.0578865619524
13647.4381162307,-54.8759810834532,-43.5741404577014
11141.0223554596,-43.5984105940362,-36.0600501902905
11096.9697014417,-47.3616484652685,-35.5905163694328
16777.2213419221,-71.2891744712473,-54.9041907025988
16260.0012060026,-67.5509301203118,-53.0910152939706
16987.0553551972,-67.6338892009809,-51.4059239460245
20937.068677451,-86.6698758522636,-66.8920276945971
9842.03709404264,-47.0728092749565,-33.1141692001054
7580.68978476851,-29.8696664592991,-25.7482590755621
12433.725526249,-58.167664291895,-35.6282681006946
7075.58541702864,-28.4919174446766,-23.933475769371
9347.4066207186,-42.1428734817382,-29.3162471606255
30639.107468823,-120.344214052399,-86.514828445879
10425.9134949199,-44.1007528852119,-30.9910369037273
5991.72968770791,-25.3946845590883,-18.2271445678304
8498.10719839463,-31.118844224648,-24.379856605099
23874.4076576572,-89.8080100282014,-73.4277041836276
7592.90559823168,-28.1526814265001,-24.0362325213516
7301.15356510081,-31.5827297043628,-24.6331063217064
16061.7943313204,-60.6833821581246,-48.7685028465595
16100.0378703138,-64.3138419257046,-48.9625535996691
11971.9687835492,-50.6151727938559,-38.6273692253281
7302.10371142278,-28.1264453181619,-21.6012137031118
14898.482356915,-62.7514737346394,-41.7486171758292
18538.28439314,-79.6146537776772,-67.5365355216313
11588.1293650732,-43.7199077594469,-32.440301406851
27920.3156028824,-123.483287454056,-93.3635696163977
8603.20901701707,-33.8704451722364,-26.878925732818
7281.64230643738,-26.5403493620249,-25.2384963229085
20666.515458165,-88.033059018484,-58.9246178258865
14954.6936031847,-58.8299773880762,-44.0335845027091
11842.6580337532,-56.0186593174151,-41.6711234931388
22900.5467431094,-94.5914469736409,-75.8006380868018
7940.51159344424,-32.9202143676134,-21.5319996063754
5238.82488122217,-22.4384344789294,-15.5479318402974
7804.91842744314,-27.6934016567151,-22.7589750240141
16404.4089504809,-64.9604158061905,-49.1530886940728
7901.10201517343,-31.1114593148996,-23.4395810585217
12075.5826045934,-54.4836553816334,-40.4043269375813
17877.3854458044,-67.5805837941829,-54.4095617592117
20644.4999544272,-79.3707467812577,-58.3644593421112
14072.8781943555,-58.8458234686576,-43.1116948482882
9120.04428999655,-34.493199876977,-27.3399046790566
11665.2393792699,-50.4901752299328,-32.4718425979324
15816.4275826509,-69.0985071035457,-53.1938362437995
13700.0144600282,-43.0503221715614,-39.4276636233749
22767.003783006,-100.049635049304,-76.2834447795768
7811.81660515517,-32.1761872197014,-26.999715580283
7515.93541256911,-28.4851108949685,-25.401548233398
16581.8954448079,-73.5660419499128,-53.581805937499
19891.0438289698,-80.8042900095233,-56.6065755123115
12952.1799118107,-60.253392546301,-43.2845681045485
15818.2434381086,-53.3573709245004,-47.595275794959
7803.69528461654,-34.1107988347666,-21.9337002939028
11986.7223823551,-46.5539681551213,-30.9556946846205
9692.83899372629,-37.2658070366296,-28.2254132444438
24693.7166399715,-92.5688294778125,-71.5720604852727
10314.6359588909,-43.0645440516979,-30.7584467307675
11077.6319753117,-52.5322375654241,-38.3389624386263
12059.8687012404,-38.6565747445818,-40.0024870213992
26379.6734402348,-102.294064323717,-75.1969397460157
21064.5172432252,-86.6440452394931,-58.3344984684213
9398.08745746585,-33.3657123914244,-27.5188142863702
18210.1050070159,-73.6854044579486,-50.5139685736783
10499.7580747981,-49.8934668304931,-37.714540212179
13281.8236414322,-50.2830724622637,-39.473352752689
21309.2362918943,-94.0318918980435,-71.3646908821948
13228.8429484808,-50.5417073220953,-40.1347274845943
7617.3341819996,-28.7837527882165,-25.5834825323411
18929.2937372427,-83.6414848627905,-61.391830031853
13769.2323382914,-54.3099801531758,-40.3183060506984
14782.7687657954,-60.944289797362,-45.8592678784548
15220.9989418643,-51.6145451899636,-46.0483028853252
12897.0247784423,-56.6364120773426,-39.7940916082886
14916.8684819215,-62.916348170168,-47.6999339248069
14100.4422142612,-51.8678094925068,-41.120130493918
9007.23954963303,-29.4404399023058,-27.1083628020786
12169.649347794,-47.7648558244228,-36.5726130171476
10322.8817488087,-42.7771812266958,-35.3426914140007
13292.0952177047,-48.6244775787493,-44.5497999740904
19418.8668434238,-78.7193444807842,-58.3674761570382
19456.5006350974,-78.8627276868927,-55.0801101333438
8439.10966725178,-28.1289485610359,-25.2719097589156
23950.3073100959,-98.6897659052163,-62.4829704969884
8814.25253983158,-36.3336114130558,-29.5192763626718
20668.2652698826,-78.3550806859404,-58.9066564526457
17579.820266327,-76.737513854569,-57.3736509557403
12230.4967153011,-44.054448285536,-36.5161541673652
9672.90310111925,-40.2465341096492,-32.6054739956823
21446.8697498788,-89.6426916362923,-69.3484109484259
12549.1087472334,-45.232848266258,-34.2981235952566
11589.9368339622,-49.6824748591582,-38.4011264043251
17387.9850633472,-51.3388608468877,-52.4066133396717
13483.0682465619,-61.3719834460835,-40.7265934849791
14734.2427124278,-60.8404383567921,-49.0263414417516
10274.8523179373,-40.1114564082037,-29.5130678956169
10343.6634894004,-47.7297259506818,-34.8872476867489
12828.8960177533,-50.9952084027209,-37.7241406987713
13377.7904055011,-57.2254781262647,-43.7902531416394
12896.2012055484,-51.8166220399423,-42.8673220080137
20320.3939506504,-91.1489520873967,-66.7637654642857
13784.6153277204,-62.0114324363143,-43.5975620997297
10943.2728364824,-40.3892875144127,-32.4177161633739
32639.0052769972,-136.461966640313,-78.0188383167338
7668.22294430423,-32.570446591634,-26.0250213079325
10367.9221216965,-45.0824584592826,-32.913781318511
18483.1212172586,-83.9438316857603,-56.9372735363244
7935.23021110049,-28.4987525363081,-24.5138725707586
6411.64535018113,-23.4016557639457,-19.0240310093881
26570.7708226262,-107.565977671846,-86.9903763321488
20598.1936706911,-86.4865751011945,-60.1487739403348
7555.76296481659,-32.6495117656721,-25.7078922962372
17025.1886604292,-68.3511974483622,-54.4512459754161
12838.3537286489,-61.2186436202653,-41.107888433978
14762.559040928,-60.7481801008231,-47.3126631741695
11965.9794862488,-48.0480089247416,-35.947373752303
12337.7709799197,-58.1441481602075,-41.8898370811313
11508.9976276849,-40.3875470052879,-29.6663940697727
9273.36892214264,-40.1166756860934,-29.5729418507945
14897.4641462727,-60.8024947581174,-48.5741458673216
19251.8916825028,-82.5123592163656,-63.617795705581
15905.6311834571,-69.5614652940871,-51.7696360519833
12284.5411849989,-45.1048787779646,-36.2236984090356
19107.1608293493,-79.7377933399852,-50.9431879063174
7831.09092700195,-33.1725464105328,-27.1916611237019
8771.2071062428,-37.1359279381163,-28.5588939770387
19382.7122289972,-85.6469967192238,-62.5471738778067
8531.26468915736,-32.763523734322,-27.4292202184967
5859.52154401987,-21.5118927595149,-17.1072504356855
12098.8408593958,-45.4724639246181,-35.5950962981326
23441.4678339427,-92.1970331683667,-73.9771534217202
8885.03887162638,-34.4490103747497,-27.9609665010085
22503.5996734712,-87.6440364991998,-69.9444561014022
13681.8628578812,-59.3046140854157,-44.7479892001287
15177.5540138765,-53.142604616732,-46.9873314107623
16964.4017204792,-67.8162523646402,-49.4254711210692
13604.365852203,-63.8203892316207,-43.1693905213759
