r,vra,vdec
936.118854960414,-96.7231312477681,-32.0959311028476
719.898512979809,-73.5492474798708,-24.7076898080543
785.484721496551,-80.5198642610475,-28.0064938610904
848.044747538056,-86.3554538938346,-29.1981850130254
767.829021382759,-78.5546170805117,-26.8829023951152
759.752492357977,-77.5892283686339,-25.6013885656552
670.482236905689,-68.0584143775684,-22.9784263728586
730.743206563043,-75.0403305883056,-25.8893694538509
721.28738158177,-74.2326501460165,-24.6843054542341
777.156502246349,-78.896674624925,-26.5926075759887
717.246061271642,-72.8454421375095,-24.3760713903557
729.496605613174,-74.2250765571546,-24.8424488813533
721.233773977095,-73.05147599453,-25.185294345604
724.283668253363,-73.7457118295714,-24.9847439250185
771.302229643983,-78.783579990769,-26.1745882590587
924.632476526905,-96.2621972784612,-32.1060648407573
806.729274646952,-82.3511609207261,-27.5853610318369
698.481427914525,-71.5761021559655,-24.2106202630336
785.682434333779,-80.9634901456813,-26.9576328415651
662.307280447709,-67.9812371628848,-22.4622463119447
708.216209847911,-71.4268323020732,-23.9754005952154
772.959744776812,-79.2481066240495,-26.649055867107
754.531574521203,-77.2606269930606,-27.047063697696
941.236849963593,-95.3364939994686,-32.3753156741204
721.476011702285,-73.7223355060058,-24.8377881948566
839.436337068548,-85.5232881593277,-28.6125143869755
625.700860274653,-63.3199084998985,-21.6723877360711
800.818756389805,-81.7311512539295,-27.679161794631
765.410521686711,-77.9380675666648,-26.3590831221194
780.034539212075,-78.6456875799955,-26.4816232255301
585.190998714222,-59.7732671700562,-19.7830543462983
672.165746927184,-69.3895922609163,-23.3692188205258
779.646385497523,-79.00289898585,-26.89941637502
682.843182167901,-69.6865606013008,-23.2465536711353
739.561508298954,-76.2598882460604,-24.2223490859863
962.061969610939,-100.583974311306,-33.0677474202055
880.78766111719,-89.5359865106997,-30.0839833521614
675.310846723277,-69.257023930691,-23.3090742513748
794.694662935867,-80.6166182791412,-27.3085553058214
685.53755823418,-70.1657094390806,-23.3761569423444
711.202877832192,-71.496020884795,-24.0119878291285
654.781477116046,-66.2387612754429,-22.6298075940319
754.686862826299,-77.2946882225358,-26.6000473423969
948.109704378571,-96.5581738971128,-32.3129617591243
617.398041075082,-62.6504743415738,-21.2585300336743
745.826544740589,-76.0052903932423,-25.4594962088029
658.383975854209,-66.6046139720999,-22.9264967116198
827.581819420544,-84.0299835909793,-28.6485901739305
951.827279163179,-97.2882031855394,-32.7076997365802
679.249096325076,-68.3287891532088,-22.3361118229617
695.036567529948,-70.9322514703046,-23.7387028855178
683.445639591489,-70.5045124747079,-23.5778472498709
689.457394649977,-69.873014123778,-22.9903149986337
736.745777501328,-75.246226397548,-25.0517243423918
762.54475373446,-77.1498208106834,-26.1812645861198
