r,vra,vdec
5430.20607697118,-147.707655640702,-48.5591004039924
2204.05442479527,-58.923911704412,-23.1249152965484
8963.2508751186,-235.257403963281,-87.738045309141
6700.62988924285,-175.352082559348,-59.9093926919477
7129.4081240082,-199.993401777717,-68.2700593039924
7643.30334570034,-211.71296496042,-75.0554986239591
5014.0107616066,-132.952277608348,-48.5564558434777
7196.3965155346,-204.498415082461,-67.2674518284853
5297.16746477946,-142.215335347262,-48.7380011062756
9128.64235678994,-261.79138549205,-91.5982180548529
5606.60616876263,-149.000140169805,-49.4818906957752
2375.565071301,-64.61345430835,-20.362525103331
8364.03820179018,-223.914280251384,-86.1686878134441
3524.66454460964,-96.0630298308336,-34.6364052327207
4701.80634904669,-124.218492692065,-50.8642828387745
4198.52753404594,-113.178341061428,-41.6826385258748
4832.62804765743,-132.059125569627,-46.5969202316539
4328.46899374654,-116.595580111455,-43.5053474409134
5211.80799836638,-140.943706504001,-47.0629818846113
4123.55784197615,-111.919449977197,-36.9064361443868
5401.70965663308,-146.057853932059,-50.2599857871502
4483.65310929298,-121.071448552958,-41.6025566953133
6446.95878092936,-171.462405329082,-63.4254156257484
6514.81425916678,-172.03656759171,-58.6602590801185
8122.71485877939,-229.83619105935,-78.7163785200492
7295.86902382181,-205.374410472675,-75.5641725814871
3372.69933982422,-88.0020506759501,-30.8668398525868
9297.09965556196,-264.882149046363,-81.7347414552487
8411.46839729469,-224.01797059146,-77.9881710619713
9007.98797825764,-251.375878665363,-85.8280540543492
5437.14820847814,-146.879687207301,-49.35298861357
2691.41875040711,-72.936010742205,-24.5671522424425
5938.38024831385,-157.784965480688,-61.7721878621221
5294.96088495359,-140.944479100131,-50.5568243362388
9348.45726806549,-252.948426840778,-91.6449096588412
6291.03715171186,-167.880793466443,-66.5613526972449
4052.88750384797,-114.368015353804,-40.1324660212847
2969.87054117206,-81.6673172129591,-27.4994527921268
4911.93152380952,-133.389498538477,-44.2536362004991
2384.78884452142,-67.8160482928756,-24.1206397460895
6751.29936294296,-184.79958893615,-62.5403383318649
3143.59905018211,-84.3662364707819,-29.0173842535283
4257.94637536221,-112.231027542837,-43.2790103721168
7122.55549724255,-185.92456477506,-62.8530530969422
4198.57654265709,-124.057240016536,-40.2352954197037
9078.03678588912,-252.442869507626,-94.7775127032357
4030.68236197587,-103.951242682961,-38.8776224920227
7845.62061336031,-225.038907757375,-70.8379851957597
6615.43234932556,-181.002335176739,-61.0732454737647
4936.23915635919,-140.608666680443,-48.6015843069755
4340.77180354505,-118.201954929223,-39.1129838733722
4259.46084963606,-120.144845061988,-38.8877044256744
6898.40726244209,-192.055374822912,-66.2087253410399
4178.6844955007,-112.439508812655,-40.8073543810487
7226.51056276994,-198.6323798741,-71.183169164961
7866.15217356639,-209.807107147207,-77.5012708168487
5694.94605068775,-158.423780334368,-55.8378294117605
3634.70327224002,-97.9174943137834,-33.8186086997472
3283.77043084072,-90.2595522802811,-28.7521547547135
3855.11223149019,-103.142569597688,-35.4184579100001
8546.76031648561,-239.792732449917,-82.7801960404809
2962.80388561582,-80.0485720590824,-26.7198554572767
6004.36822292812,-164.512082304637,-53.8754638517495
8334.63791996181,-218.506153007382,-71.9298525413374
4292.50317293053,-125.04133752732,-41.4623458708106
6095.21173523572,-169.309280422405,-60.4612728155634
3318.03765871159,-87.8002510819648,-32.1620360561298
8775.56098206031,-249.776828885894,-79.8393899670385
7437.84024799685,-204.384425684971,-68.7909328375149
4202.9597836677,-119.925486666504,-41.1172094796329
5686.00118109183,-158.481512308044,-52.0648187356353
4726.96701602235,-131.069567156593,-42.852914267754
5380.66433679551,-150.033336312636,-52.7881217321095
4795.44717862587,-129.824375357254,-47.0325441249714
6261.55328022674,-172.583196939614,-62.4120753570633
8164.92234487563,-215.427355989638,-77.5427259429196
4834.92944957577,-130.739879536627,-45.2228768346591
3321.76352227885,-87.5565307314762,-31.3513328733282
3624.27941230395,-101.423369474302,-31.940954734127
3957.99973763038,-109.2211498512,-38.0894662629243
8076.72682425535,-231.667735333762,-75.6603340675206
4677.87123046178,-128.667009719664,-40.5729815691484
6756.21469195027,-185.449022631214,-62.1862295486657
7322.04270045718,-193.294845699295,-61.8771976460712
4191.80906785785,-121.11674808145,-39.8969863638355
5143.83381527349,-140.429674729078,-48.7183964576652
2320.46380572862,-62.3887403959355,-20.2925145836459
7619.83276258717,-225.064302788593,-65.6408848251828
5761.5002791755,-153.282600774967,-54.4975990272417
2182.01043346857,-59.0512576736021,-20.4492173846428
6636.29078392975,-185.647616805527,-60.513388076281
