source_id,rMedGeo,rLoGeo,rHiGeo,rMedKinogeo,rLoKinogeo,rHiKinogeo,vraMedKinogeo,vraLoKinogeo,vraHiKinogeo,vdecMedKinogeo,vdecLoKinogeo,vdecHiKinogeo,rvraCorrKinogeo,rvdecCorrKinogeo,vravdecCorrKinogeo,acceptRate,flag
3490289711213205632,1783.58863551727,1112.35919263917,2641.24340500314,1491.0159994526,968.274586038866,2282.3503417162,26.8477653145145,16.8355859030233,42.5110231855237,3.75357007459337,0.237250750456122,8.86004795960626,0.926723928545875,0.494311010269014,0.390246482421647,0.616331658291457,1
3490289715508854016,1015.31394381865,950.882232141816,1092.42258688011,999.443856492861,930.572283618616,1073.24381561644,-96.4284219304123,-103.536031792862,-89.604357876867,-22.0865667485969,-23.6463637797562,-20.5435704978682,-0.998589807581153,-0.986268986405634,0.984814349284417,0.624120603015075,1
3490289749867760896,1372.65859203383,809.454155526927,2207.90570363267,2269.22350174479,1207.73145609243,5113.76477187404,-26.7077767279877,-65.2490669006809,-12.5073223365025,-4.93922376277576,-17.1550751254776,0.678542858669587,-0.814708779227204,-0.346381415617147,0.241998308100445,0.58391959798995,2
3490289814292421888,1819.74261768289,1352.65391278102,2628.96457861082,2051.64422731485,1480.23349413018,3202.61505851736,-74.5927263308806,-118.041675909213,-53.3618661716056,14.4195638491207,10.5859664286197,22.3120950215833,-0.99606683796857,0.973046815857088,-0.96534416924897,0.622361809045226,1
3490289818586888576,556.145163601975,434.360713447184,709.018524880281,632.275165741246,482.315179202751,867.966836122748,-40.201595299054,-56.2319069229277,-30.733129818324,-13.8374337303635,-18.7145189102801,-10.560922882289,-0.993966649288177,-0.976703180495138,0.973335209836124,0.646231155778894,1
3490289852947807744,912.548105264993,845.943820325168,972.72162650185,885.132296023028,812.629304442769,974.259718163475,6.30949603631535,5.66971987058841,6.9963221924647,0.838543084262891,0.572420278687197,1.1390470959771,0.686700203187431,0.337799893714615,0.277723956791641,0.630402010050251,1
3490289883011898496,3335.85673386638,2312.63852271966,5230.973853028,2135.58543474549,1685.27376455527,2788.49840481844,23.8722337579524,18.5579975737277,31.5635701571912,-73.3851799782542,-95.7015850656894,-57.9930110058989,0.954279792737773,-0.996904550155052,-0.948926414077893,0.634422110552764,1
3490289887307937920,2337.50757164247,1999.58965308846,2824.99221669656,2726.92048685679,2114.74070388919,3926.28885864587,-71.6377988978687,-103.360548980554,-55.1545062345027,-11.1293311061123,-15.872309109794,-8.72200509408034,-0.998345708537379,-0.967266391389694,0.962537478775688,0.615829145728643,1
3490289921667284352,1255.02043854105,1205.90703553912,1313.76757600251,1267.03461371227,1220.29127435895,1318.37375081768,-41.8690845149108,-43.6157904390599,-40.2872020118214,6.8289060928015,6.54808860241611,7.14504416135398,-0.993105274689486,0.886379681495376,-0.884039835378597,0.610301507537688,1
3490289956027023232,1060.50644827413,1014.66383976697,1099.74767678906,1045.84505115122,1010.33681654551,1085.09800972078,-74.1139951609758,-76.9442443796043,-71.6132176532286,-59.7845252355527,-62.0424790960248,-57.7899246228379,-0.99749067926677,-0.998206963669942,0.99636481390673,0.568090452261306,1
3490290054810590720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290089170329984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290089170330240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290089170331008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290093465144320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290093465144448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290123530068992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290157889807232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290157889807616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290157889809024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290162184620928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290226609285888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290230904930560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290299624407424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290398407978752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290471422342144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290471423100160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290505782080128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290574502314752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290604566409472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290608862052864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290638926148096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290638926148864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290711941269248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290746301007488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290776365105024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290776365105792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290776365106048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290849380220544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290879444313856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290879444314496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490290913804053376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
