source_id,rMedGeo,rLoGeo,rHiGeo,rMedKinogeo,rLoKinogeo,rHiKinogeo,vRaMedKinogeo,vRaLoKinogeo,vRaHiKinogeo,vDecMedKinogeo,vDecLoKinogeo,vDecHiKinogeo,rvraCorrKinogeo,rvdecCorrKinogeo,vravdecCorrKinogeo
3490289711213205632,2.2287284150757487,1.0974691449584881,4.481295339895125,1.6814354282520276,1.008529383605774,2.849149049342287,29.72940391000178,18.35953894557687,49.555535521022804,4.393914526518914,0.4199529601401454,11.081469526604133,11.753189221300701,2.3866371231417376,0.37468849283274763
3490290123530068992,1.153986807982847,0.6962336433323918,1.779025183000246,1.263102793266865,0.8417969618647979,2.1682503118347034,-58.7864361121476,-101.52011276726564,-39.321166566112495,1.5030130989758117,-0.6202646968762826,4.357580076151576,-17.579407488712558,0.6198827124838293,-0.3472338246725852
3490290608862052864,2.8343222743670875,1.7139763113333872,5.7319569689641545,1.9615195013533515,1.5064462627779314,2.5637773442897824,-111.61622719251804,-145.3113137020511,-86.25171974794831,12.864110249534848,9.343879028520325,17.258932284560082,-16.583594110038433,2.009524598615509,-0.8664316017610177
3490291326120920960,2.0314271097041106,1.5873512759791972,2.787646820992259,1.9709325486632983,1.581641155275188,2.406302643973246,-88.0866549710599,-107.87155510063315,-70.28456350392017,-22.100983110792246,-27.225454191804605,-17.79730217713572,-8.112164266342637,-1.9797381129163816,0.9713376017370985
3490291841517005824,3.069871137387688,1.3650659286333302,6.40957297679299,3.0198869961470605,1.5583259510087693,4.789908511629108,17.738759431885963,5.694370764374778,37.90561398630053,-24.051211891236136,-43.3573429280294,-11.675035337745195,11.568837457199571,-18.92683195606934,-0.40628819207111644
3490292533007404672,3.8977232095464633,2.809992445239442,5.5985296603719545,2.7673669863252197,2.2376880224922955,3.3886545992664483,-121.53462161148124,-149.00003575499525,-97.83591592339617,-24.654160628458136,-30.18736077984075,-19.784947226349118,-13.291916025781953,-2.6380647602579024,0.9682248900252743
3490293800021157504,2.8019114376284624,1.2426592913977739,5.906696019373156,1.6049948572657988,1.1457559561291288,2.244534546287512,-72.42002710304865,-101.49857212887102,-51.052946595876,-25.933883562970447,-35.98653026610665,-18.48084996716054,-13.39525267825148,-4.591581686778273,0.9521112477187074
3490293907395889792,2.1918828238781565,1.126562524665167,4.269308298023291,2.3971775736558225,1.3962521263990924,3.3812108888682637,-85.42771882437643,-123.18752249442305,-49.91582910977397,1.4829510865810915,-4.527149379804035,8.591417752547901,-30.9670616746529,0.6945200662674728,-0.1390175102562559
3490294319713737472,2.2911121340645915,2.2015055191114468,2.4061655069755177,2.2844942446589824,2.1995238222723827,2.4009426819694197,-74.16001542937676,-77.86993158754579,-71.39134310727444,32.13817338606632,30.914686652799112,33.811022526624114,-0.3202826842645237,0.13893860935452132,-0.9878170202776331
3490294624655815936,4.254582329244769,2.252190328868676,8.149711843998883,3.465426574997614,2.370286972140739,5.167729701156787,-86.01286664071873,-127.90732899750829,-59.23073977361791,6.041708735155115,1.981912034841673,11.89329756786911,-41.61763098116585,3.346459158647902,-0.494405389483538
3490294659015547008,3.573287860740459,2.0687887006014716,7.931972819668994,2.2786506806674542,1.6618169209840816,3.06330768280914,-95.34456181576358,-129.45303098341398,-68.83223235108636,-5.493493923938914,-9.327548816823679,-2.7417354986697573,-20.004846864862973,-1.0864015927622637,0.4798154698141088
3490294938187716864,0.8313890352608637,0.7737872681073733,0.9019105341049131,0.8486989406333784,0.7825703297268056,0.9301471638439613,-61.82071404484178,-67.6497935944958,-56.983699005228246,21.76274114296087,20.003341762081885,23.89970929749568,-0.46012259342571094,0.1640532362870434,-0.9871672442824033
3490295311850583168,1.196232961731487,1.012555678676809,1.5351785643726124,1.2508386327673313,1.011612263376827,1.5507125037510248,-44.241274758627455,-55.06376340865273,-35.77318920205361,9.595811449011833,7.679503417298613,12.117385971055265,-2.693222902452053,0.5969994273741089,-0.9352760966921766
3490296617519698560,1.1218266103029912,0.9856673419853222,1.325537332611692,1.113867340033675,0.9693298024751362,1.327841018818359,-78.27956697919966,-94.06747259164402,-68.01795826097938,48.996338969556916,42.59592915008821,58.788157794216886,-2.547985604176151,1.58923148453592,-0.9967579007754035
3490297205930652416,2.1390321516719224,1.0301645933790666,4.198726166543288,2.082105618705859,1.2225479020145833,3.421313972935273,-17.59786249478873,-34.23215014044769,-8.182465637164642,34.925906576488664,20.06043224237453,57.37957246506498,-10.900889121719139,17.325462971093174,-0.7462918157001968
3490297235995008896,5.683887994063445,3.1146460450109865,10.542728564783733,2.972567005947708,2.216181737822646,3.7967995293572705,-61.74453944242373,-79.22773254893767,-46.04660678770336,-53.679574847327586,-68.89382492472001,-39.7047235212695,-14.601398135801148,-12.41734814846483,0.964825545738318
3490297339074223616,2.0522700792061306,1.3928247347799676,3.505462218045571,2.195634755660831,1.5012002833231157,3.100578596988807,-67.35735700750774,-94.75991499087894,-45.34936423977667,-8.248810623322363,-12.188195430403573,-5.6395798156236,-18.80784236505907,-2.2043116556707125,0.8145521511454547
3490297412090193536,1.6392636956284847,1.4411302751107886,1.9281941820712611,1.541162005257657,1.3368840702808353,1.7567006591815433,34.209720176179204,29.47210725785607,38.734198646699056,-53.44507314086985,-60.772344523520154,-46.24130241208559,0.9283602578045135,-1.4605210221560296,-0.9813714531008182
3490298133644704512,1.3662158522030334,1.2317439364255647,1.5481041329909773,1.4040845428071007,1.2604289253966263,1.607969254716469,-26.767637196259592,-30.81295344404538,-23.82408989106092,21.101880687680847,18.831551847147654,24.32496653584191,-0.6434616268597844,0.5101235313654657,-0.9758444050981667
3490298339803133440,2.2439467059043228,1.1024136619604383,5.001823289525097,2.75898472301023,1.2584002747368033,5.989096472568729,-27.162465057382715,-61.820573954984106,-11.27575669885619,-6.487932733576429,-16.435779107672314,-2.447745042019268,-46.75537242915992,-9.289631610731753,0.5106996048350924
3490298717759354496,1.6057760975257729,0.7861411935963014,3.891140346034541,2.3149059009781823,1.018625338825269,4.72750380056414,-56.54817829836064,-116.28368185338901,-24.324894500591466,5.4641123274777454,-0.020858352325709758,17.234711771120548,-70.25245245866614,10.789950390228055,-0.5204090978331732
3490299473673786624,3.2212427012611915,1.46085036403337,6.073294216864824,2.601070925425609,1.6681387311313636,4.296166837235128,-63.278219087444626,-96.88192589634727,-39.08599383997585,-17.142358129098454,-27.93707278680161,-9.54399780869815,-34.10545092428773,-7.447381074141962,0.6213348484433996
3490299748552465920,1.301175581931811,1.2533862137033251,1.3552976414908682,1.28899335307282,1.2413608660070419,1.3484432860727307,-87.03944222138942,-91.08900514807169,-83.7716739312087,-39.133073245825756,-40.876753186783496,-37.72999201986238,-0.19961098879913466,-0.08590290171029825,0.997387245680456
3490300229588804096,0.3497970029188482,0.27444299601376704,0.4731947038999212,0.3657610123298438,0.28481036489969613,0.4879224958903043,-0.1655917810731781,-1.107641648893706,0.6440020689386794,-23.021962431682407,-30.32551763542201,-18.21722387037981,-0.02805131856906259,-0.6044658161223044,0.30746010574490945
3490301599681814528,1.3204911311686862,0.8773069672424058,1.9473882097621984,1.0345178128355164,0.7988795042502305,1.3409270424402293,-9.41743852120314,-12.854258269272608,-6.804377596032838,-62.20737348595942,-79.8496575969022,-47.74643191358741,-0.7852187741032713,-4.823735623054141,0.8562599407923823
3490302493037031552,0.9647162535257492,0.7214040612846243,1.4151492195808109,1.0179401232304093,0.7565914806005516,1.4805502111151028,-60.46647769620574,-87.74613529134514,-44.39502146991705,-2.0787789385232713,-3.1898213802276723,-1.1245998930865846,-7.585397493010906,-0.14909685521789146,0.3896371366219496
3490302737849711744,3.5235221232081213,2.9686782197338637,4.214886203892525,3.362763314761886,2.893405818825568,3.9136768292813984,-105.62647279266767,-123.33728703420583,-90.75714783820696,-18.035284663599562,-20.939767144110505,-15.632433470858711,-10.366994094983752,-1.6581022476003022,0.9844770654142107
3490302978367100416,2.565453353819926,1.1485850692953934,5.447099603503106,2.931337247540165,1.3365068653000955,6.886904356120269,-17.934354029490187,-48.16332449384265,-4.177836562610396,-1.9991276521755956,-10.956110240654727,6.213342576834804,-42.766461808977745,-2.3437768708787825,0.14232220237476487
